Asset_1,Asset_2,P_Value,Hedge_Ratio
5JS.SI,JYEU.SI,0.01515,0.4592
BSL.SI,Y92.SI,0.01517,-2.4047
40T.SI,C38U.SI,0.01528,-0.0868
BUOU.SI,D05.SI,0.0154,0.011
F17.SI,G92.SI,0.01545,1.094
8AZ.SI,I07.SI,0.01551,0.9597
JYEU.SI,OXMU.SI,0.01553,2.1079
G13.SI,U11.SI,0.01567,0.0083
53W.SI,BN2.SI,0.01573,0.3359
53W.SI,E3B.SI,0.01586,0.2174
544.SI,F17.SI,0.01586,0.623
BQD.SI,J36.SI,0.01594,0.0022
BQD.SI,NPW.SI,0.01605,0.2398
O10.SI,U06.SI,0.01606,0.1933
CHZ.SI,H02.SI,0.01613,0.0164
S07.SI,S69.SI,0.01617,5.014
S07.SI,S08.SI,0.01618,-2.3868
E5H.SI,N2IU.SI,0.01621,0.1294
53W.SI,S20.SI,0.01634,0.2448
C52.SI,J69U.SI,0.01643,0.3989
1D0.SI,H13.SI,0.01651,0.1721
G13.SI,S63.SI,0.01655,0.0053
P8Z.SI,S08.SI,0.01659,-5.4387
C52.SI,U06.SI,0.01661,0.0695
KJ5.SI,P52.SI,0.01663,0.1317
M44U.SI,S69.SI,0.01664,3.9493
BQD.SI,M1GU.SI,0.01694,0.4932
BUOU.SI,P8Z.SI,0.01714,0.2417
P52.SI,S41.SI,0.01715,1.8885
C52.SI,O10.SI,0.01718,0.3474
5E2.SI,8AZ.SI,0.0172,1.8036
BN2.SI,D01.SI,0.01723,0.1365
53W.SI,U06.SI,0.01729,0.0577
5JS.SI,M1GU.SI,0.01732,0.5249
558.SI,S20.SI,0.01752,1.1556
M44U.SI,V03.SI,0.01755,0.0405
CC3.SI,VC2.SI,0.01755,0.1703
S07.SI,S56.SI,0.01755,0.4449
5E2.SI,KJ5.SI,0.01758,2.496
CHZ.SI,D01.SI,0.01761,0.0463
E5H.SI,H13.SI,0.01771,0.0787
C09.SI,EB5.SI,0.01781,4.7243
53W.SI,Z74.SI,0.01789,0.0608
S07.SI,S20.SI,0.0179,0.4826
53W.SI,OV8.SI,0.01791,0.0907
5JS.SI,H22.SI,0.01803,0.0377
53W.SI,F34.SI,0.01807,0.1785
A17U.SI,P15.SI,0.01819,1.8532
AW9U.SI,P52.SI,0.01836,0.0541
BN2.SI,NS8U.SI,0.01839,3.5604
AJBU.SI,CLN.SI,0.01853,0.6344
CLN.SI,I07.SI,0.01861,3.2059
5JS.SI,CLN.SI,0.01881,0.1924
BQD.SI,E3B.SI,0.01887,0.153
I07.SI,NS8U.SI,0.01891,1.3704
2318.HK,53W.SI,0.01898,132.3476
C09.SI,L19.SI,0.01909,12.011
42L.SI,558.SI,0.01919,0.1394
AJBU.SI,ER0.SI,0.01922,1.2446
BEC.SI,H22.SI,0.01929,0.8634
CRPU.SI,E5H.SI,0.01935,1.4054
S07.SI,U14.SI,0.0194,0.0294
